"YEAR","Mean(FINES)"
2008,377068.4285714286
2009,368038.7142857143
2010,314795.375
2011,357013.5
2012,375520.25
2013,363459.75
2014,458725
2015,474717.5
2016,408174.875
2017,369140.1
2018,356651.3333333333
2019,308060.8333333333
2020,290267.1538461538
2021,374395.2307692308
2022,325095.8571428571
2023,1910.215606675687
